"Раздел","Содержание"
"Название проекта","Живая база возражений — автообновление библиотеки за 30 дней"
"Цель","Превратить таблицу возражений из шаблона (12 строк, колонка «Кейс/цифра» = заполнить) в рабочий инструмент с реальными кейсами и подтверждёнными источниками"
"Для кого — прямой пользователь","Менеджер по продажам — рабочий инструмент для подготовки к звонкам и КП"
"Для кого — косвенно","Руководство отдела продаж (демонстрация эффекта AI-инструментов); материал для позиционирования «архитектор агентных решений»"
"Сценарий, шаг 1","На звонке возникает новое возражение клиента"
"Сценарий, шаг 2","Менеджер описывает возражение агенту"
"Сценарий, шаг 3","Агент ищет похожее в таблице и запускает researcher за подтверждающим кейсом/данными"
"Сценарий, шаг 4","Агент предлагает формулировку ответа + кейс + источник"
"Сценарий, шаг 5","Менеджер подтверждает или корректирует"
"Сценарий, шаг 6","Агент обновляет таблицу, при необходимости создаёт файл кейса"
"Сценарий, шаг 7","По запросу менеджера агент проверяет очередь тем (research-queue.md) и предлагает новые данные для существующих строк — без автоматики/расписания"
"Проверка результата — количественно","% строк с заполненными «Кейс/цифра» и «Источник»: старт 0/12, цель 12/12 к концу недели 2"
"Проверка результата — качественно","Каждая цифра/кейс проверяема по ссылке, без выдуманных данных"
"Проверка результата — функционально","Прогон полного сценария на реальном новом возражении в неделю 4 с замером времени"
"Проверка результата — субъективно","Через месяц использования — стало ли быстрее готовиться к звонкам/КП"
"Презентация — внутри","Демонстрация «до/после» таблицы + замер времени для руководства Zerocoder"
"Презентация — вовне","Кейс-стори по аналогии с Squares.kz: «Как менеджер по продажам автоматизировал базу возражений с Claude Code за 30 дней», файл в cases/, опционально пост через AI-News to Social"
