"Раздел","Содержание"
"Название проекта","Библиотека возражений и кейсов для B2B-продаж"
"Проблема, которую решает проект","В Obsidian была заготовка таблицы возражений (12 формулировок), но колонки «Кейс/цифра» и «Источник» во всех строках стояли как «заполнить». Менеджер на звонках и в КП использовал аргументы без подтверждённых кейсов и цифр — приходилось искать примеры вручную, что занимало 10-15 минут на каждое возражение"
"Цель проекта","За 30 дней превратить таблицу-шаблон в рабочий инструмент с реальными кейсами и проверяемыми источниками — без новых платных подписок, используя только Claude Code Pro и бесплатные инструменты"
"Задачи проекта","1) Ресёрч и сопоставление реальных кейсов Zerocoder с возражениями таблицы; 2) заполнение колонок «Кейс/цифра» и «Источник»; 3) оформление развёрнутых кейс-файлов в cases/; 4) сбор и оформление личных кейсов менеджера из практики продаж; 5) настройка процесса пополнения библиотеки (очередь тем, шаблон новой записи); 6) функциональный тест полного сценария с замером времени; 7) подготовка презентационных материалов (внутренних и внешних)"
"Пользователь проекта и его роль","Менеджер B2B-продаж университета Zerocoder. Роль: формулирует задачи и новые возражения агенту, проверяет и подтверждает предложенные формулировки/кейсы/источники перед внесением в библиотеку, использует готовую таблицу на звонках и при подготовке КП"
"Основная функция","Единая таблица возражений в Obsidian (markdown) с готовыми ответами, реальными кейсами и проверяемыми источниками + управляемый агентом процесс пополнения: новое возражение → поиск похожего → (по запросу) ресёрч/личный кейс → формулировка → подтверждение менеджером → запись в таблицу"
"Формат результата","1) sales-objections-library.md — основная таблица в Obsidian; 2) 2026-06-15-objections-library-viewer.html — веб-интерфейс для просмотра, поиска, фильтрации и добавления возражений (открывается в браузере, без установки); 3) файлы кейсов в cases/ (развёрнутые истории для КП/презентаций); 4) research-queue.md — очередь открытых тем для ресёрча по запросу; 5) templates/new-objection-row-template.md — шаблон новой записи с чек-листом; 6) CSV-экспорты в exports/ для импорта в Google Таблицы; 7) посты для Telegram/VK в posts/ (через скилл AI-News to Social)"
"Минимальный функционал (MVP)","Таблица возражений, где для каждой строки заполнены «Кейс/цифра» и «Источник» реальными проверяемыми данными, плюс рабочий процесс «новое возражение → подтверждённая запись в таблице» без необходимости вручную искать кейсы"
"Что было сделано — неделя 1","Ресёрч кейсов обучения Zerocoder в открытых источниках (researcher-субагент); сопоставление найденных кейсов (Инвитро, кейс консультанта по бизнес-процессам, CuPor, агрегированная статистика Zerocoder) с возражениями таблицы; заполнены строки №1, 2, 4, 5, 9, 10, 12 (7 из 12); добавлена колонка «Источник»; оформлен развёрнутый кейс-файл «Инвитро» в cases/; проведена ревизия оставшихся пробелов (№3, 6, 7, 8, 11)"
"Что было сделано — неделя 2","Сбор личных кейсов менеджера из практики продаж: №6 (клиент из сферы ИИ-разработки, ~40 человек, индивидуальная 12-часовая программа после неудачного опыта с другими провайдерами), №7 и №13 (поэтапный формат обучения — пилот, затем второй этап), №8 (статистика Zerocoder: NPS 94%, выход на рынок с 5-го месяца, 260 млн ₽ через карьерный центр), №11 (демо/пилот как точка входа в расширенный контракт). Оформлен кейс-файл «ИИ-разработчики» в cases/. Библиотека достигла 11/12 строк"
